Tên,Giá,RAM,SSD,Rating,Đã bán
Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002),13.690.000₫,RAM 8 GB,SSD 512 GB,5,657
Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U (NX.J2SSV.005),17.490.000₫,RAM 16 GB,SSD 512 GB,5,131
Asus TUF Gaming F15 FX507ZC4 i7 12700H (HNi7MW),22.990.000₫,RAM 16 GB,SSD 512 GB,5,128
Asus Vivobook 14 X1404VA i5 1335U (NK050W),14.990.000₫,RAM 16 GB,SSD 512 GB,4.9,3k
MSI Thin 15 B13UC i7 13620H (1411VN),21.490.000₫,RAM 32 GB,SSD 512 GB,4.9,286
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),18.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),18.190.000₫,RAM 16 GB,SSD 512 GB,4.9,"4,6k"
Lenovo IdeaPad 5 2in1 14IRH9 i7 13620H (83KX003XVN),24.990.000₫,RAM 16 GB,SSD 512 GB,5,13
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),22.590.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,6k"
Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H (83DA0020VN),27.490.000₫,RAM 32 GB,SSD 1 TB,4.9,212
Dell Inspiron 15 3520 i7 1255U (N3520-i7U165W11BLU-FP),19.990.000₫,RAM 16 GB,SSD 512 GB,5,245
MacBook Air 13 inch M2 10GPU,23.990.000₫,RAM 16 GB,SSD 256 GB,5,672
Asus Vivobook 16 X1605VA i5 13420H (MB1876WS),16.490.000₫,RAM 16 GB,SSD 512 GB,5,28
Asus Vivobook 16 X1605VA i7 13620H (MB1875WS),18.690.000₫,RAM 16 GB,SSD 512 GB,5,25
Asus Zenbook 14 OLED UX3405MA Ultra 5 125H,26.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,1k"
Acer Gaming Aspire 7 A715 76G 5806 i5 12450H (NH.QMFSV.002),19.290.000₫,RAM 16 GB,SSD 512 GB,4.9,1k
MSI Gaming Cyborg 15 A13VEK i7 13620H (1423VN),24.690.000₫,RAM 16 GB,SSD 512 GB,5,451
Lenovo IdeaPad 5 2in1 14IRH9 i5 13420H (83KX003WVN),21.990.000₫,RAM 16 GB,SSD 512 GB,5,34
Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN),13.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"3,6k"
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),16.990.000₫,RAM 8 GB,SSD 512 GB,4.9,"3,4k"
Lenovo Ideapad Slim 5 15IRU9 Core 5 120U (83D0000EVN),18.690.000₫,RAM 16 GB,SSD 512 GB,5,651
HP Elitebook 630 G11 Ultra 7 155U (A7LC5PT),25.690.000₫,RAM 16 GB,SSD 512 GB,5,41
Dell Vostro 3530 i5 1335U (80GG93),18.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,4k"
Acer Aspire 5 A514 56P 54TN i5 1335U (NX.KHRSV.004),14.690.000₫,RAM 8 GB,SSD 512 GB,5,334
Asus TUF Gaming F15 FX507VU i7 13620H (LP186W),27.590.000₫,RAM 16 GB,SSD 512 GB,5,343
Asus Vivobook 15 OLED A1505VA i5 13500H (MA467W),18.690.000₫,RAM 16 GB,SSD 512 GB,4.9,676
Lenovo V14 G4 i7 1355U (83A00012VN),18.490.000₫,RAM 16 GB,SSD 512 GB,4.9,324
Dell Inspiron 15 3530 i5 1334U (71043885),18.490.000₫,RAM 16 GB,SSD 512 GB,5,650
Lenovo ThinkPad E14 Gen 6 Ultra 5 125U (21M7004LVN),25.690.000₫,RAM 32 GB,SSD 1 TB,5,60
GIGABYTE G5 MF5 RC555 i7 13620H (9RC55MF5FJIINIVN000),24.490.000₫,RAM 16 GB,SSD 512 GB,5,25
HP Elitebook 630 G10 i5 1335U (9J0B4PT),20.190.000₫,RAM 16 GB,SSD 512 GB,5,323
MSI Gaming Thin 15 B13UCX i5 13420H (2080VN),17.190.000₫,RAM 16 GB,SSD 512 GB,5,148
Dell Vostro 3520 i5 1235U (71030559),16.490.000₫,RAM 16 GB,SSD 512 GB,4.9,"2,3k"
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11BLU-FP),22.490.000₫,RAM 16 GB,SSD 1 TB,5,207
Asus Gaming Vivobook K3605ZU i5 12500H (RP296W),23.690.000₫,RAM 16 GB,SSD 512 GB,5,352
Asus Vivobook 15 OLED A1505VA i9 13900H (MA586WS),21.990.000₫,RAM 16 GB,SSD 512 GB,5,268
Acer Gaming Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G),24.190.000₫,RAM 16 GB,SSD 512 GB,5,795
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN),20.690.000₫,RAM 24 GB,SSD 512 GB,5,322
HP Gaming VICTUS 16 s0173AX R5 7640HS (A9LG9PA),22.690.000₫,RAM 16 GB,SSD 512 GB,5,171
